PERSON_ID,DISPLAY_FIRST_LAST,FROM_YEAR,TEAM_ID,TEAM_NAME,HEIGHT,WEIGHT
1629034,Ray Spalding,2018,0,,6-9,225
1627215,Walt Lemon Jr.,2017,1610612741,Bulls,6-3,180
1628443,Kadeem Allen,2017,0,,6-1,200
1628396,Tony Bradley,2017,1610612741,Bulls,6-10,248
1628993,Alize Johnson,2018,0,,6-8,212
1629740,Nicolo Melli,2019,1610612740,Pelicans,6-9,236
1629117,Wenyen Gabriel,2018,1610612740,Pelicans,6-9,205
1629628,RJ Barrett,2019,1610612752,Knicks,6-6,214
1629684,Grant Williams,2019,1610612738,Celtics,6-6,236
1628973,Jalen Brunson,2018,1610612742,Mavericks,6-1,190
1629639,Tyler Herro,2019,1610612748,Heat,6-5,195
1629126,Deonte Burton,2018,1610612760,Thunder,6-4,240
1629673,Jordan Poole,2019,1610612744,Warriors,6-4,194
1628981,Bruno Fernando,2019,1610612745,Rockets,6-9,240
1629672,Eric Paschall,2019,1610612762,Jazz,6-6,255
1629033,Theo Pinson,2018,1610612742,Mavericks,6-5,212
1629065,Ky Bowman,2019,1610612744,Warriors,6-1,187
1629014,Anfernee Simons,2018,1610612757,Trail Blazers,6-3,181
1629060,Rui Hachimura,2019,1610612764,Wizards,6-8,230
1629048,Goga Bitadze,2019,1610612754,Pacers,7-0,250
1627814,Damion Lee,2017,1610612744,Warriors,6-5,210
1629661,Cameron Johnson,2019,1610612756,Suns,6-8,210
1629633,Jarrett Culver,2019,1610612763,Grizzlies,6-6,195
1629130,Duncan Robinson,2018,1610612748,Heat,6-7,215
202954,Brad Wanamaker,2018,0,,6-3,210
1629634,Brandon Clarke,2019,1610612763,Grizzlies,6-8,215
1629058,Dzanan Musa,2018,1610612751,Nets,6-9,217
1628370,Malik Monk,2017,1610612747,Lakers,6-3,200
1629637,Jaxson Hayes,2019,1610612740,Pelicans,6-11,220
1629741,Marko Guduric,2019,1610612763,Grizzlies,6-6,201
1629008,Michael Porter Jr.,2018,1610612743,Nuggets,6-10,218
1629735,Chris Silva,2019,0,,6-8,234
1629680,Matisse Thybulle,2019,1610612755,76ers,6-5,201
1629630,Ja Morant,2019,1610612763,Grizzlies,6-3,174
1629682,Tremont Waters,2019,1610612738,Celtics,5-10,175
1629134,Kendrick Nunn,2018,1610612747,Lakers,6-2,190
1628449,Chris Boucher,2017,1610612761,Raptors,6-9,200
1628430,Nigel Williams-Goss,2019,1610612762,Jazz,6-2,190
1629023,P.J. Washington,2019,1610612766,Hornets,6-7,230
1629652,Luguentz Dort,2019,1610612760,Thunder,6-3,215
1629631,De'Andre Hunter,2019,1610612737,Hawks,6-8,221
1629598,Chris Clemons,2019,1610612745,Rockets,5-9,180
1629004,Svi Mykhailiuk,2018,1610612761,Raptors,6-7,205
1628972,Troy Brown Jr.,2018,1610612741,Bulls,6-6,215
1629726,Garrison Mathews,2019,1610612745,Rockets,6-5,215
1629660,Ty Jerome,2019,1610612760,Thunder,6-5,195
1628394,Anzejs Pasecniks,2019,0,,7-1,229
1628401,Derrick White,2017,1610612738,Celtics,6-4,190
1629629,Cam Reddish,2019,1610612752,Knicks,6-8,217
1629346,Alen Smailagic,2019,1610612744,Warriors,6-10,215
1629655,Daniel Gafford,2019,1610612764,Wizards,6-9,234
1629010,Jerome Robinson,2018,0,,6-4,190
1629675,Naz Reid,2019,1610612750,Timberwolves,6-9,264
1629164,Brandon Goodwin,2018,1610612739,Cavaliers,6-0,180
1628980,Jacob Evans,2018,1610612744,Warriors,6-4,210
1629059,Elie Okobo,2018,1610612756,Suns,6-3,190
1629067,Isaac Bonga,2018,1610612761,Raptors,6-8,180
1628961,Kostas Antetokounmpo,2018,1610612747,Lakers,6-10,200
203658,Norvel Pelle,2019,0,,6-10,231
1628960,Grayson Allen,2018,1610612749,Bucks,6-4,198
1629018,Gary Trent Jr.,2018,1610612761,Raptors,6-5,209
1629642,Nassir Little,2019,1610612757,Trail Blazers,6-5,220
1629658,Jaylen Hoard,2019,0,,6-8,216
1629056,Terence Davis,2019,1610612758,Kings,6-4,201
1629035,Carsen Edwards,2019,1610612738,Celtics,5-11,200
1629636,Darius Garland,2019,1610612739,Cavaliers,6-1,192
1627788,Furkan Korkmaz,2017,1610612755,76ers,6-7,202
